model,split,rmse,mae,r2
LinearRegression,valid,1.6241929715235923,1.2329393908644493,0.024779611247968014
LinearRegression,test,1.646945562751276,1.2692168106031851,0.022650936596249616
Ridge,valid,1.6241929709495895,1.2329393904081547,0.024779611937269408
Ridge,test,1.6469455626918827,1.269216810215789,0.022650936666741117
RandomForest,valid,1.2608797257532083,0.8887909167692378,0.4122740834317735
RandomForest,test,1.313744216567381,0.9285097313837469,0.3781110408926227
XGBoost,valid,1.3264423561699905,0.9823533487538271,0.34956443249891156
XGBoost,test,1.3880965311347653,1.0290405899676174,0.30572656204894266
