model,feature,importance
RandomForest,protein_len,0.13122632433483045
RandomForest,protein_mean,0.09695452316655007
RandomForest,protein_std,0.10949057090055062
RandomForest,protein_min,0.08094278625859566
RandomForest,protein_max,0.10163864077349022
RandomForest,protein_median,0.10058459859902037
RandomForest,compound_len,0.10616930932110974
RandomForest,compound_mean,0.0656812617342204
RandomForest,compound_std,0.05982298867724372
RandomForest,compound_min,0.02903780328868141
RandomForest,compound_max,0.05802436652208666
RandomForest,compound_median,0.06042682642362076
XGBoost,protein_len,0.07657525688409805
XGBoost,protein_mean,0.07207924872636795
XGBoost,protein_std,0.073987677693367
XGBoost,protein_min,0.07010312378406525
XGBoost,protein_max,0.07664981484413147
XGBoost,protein_median,0.07789189368486404
XGBoost,compound_len,0.12130747735500336
XGBoost,compound_mean,0.0731399729847908
XGBoost,compound_std,0.07560387998819351
XGBoost,compound_min,0.11424374580383301
XGBoost,compound_max,0.09034451842308044
XGBoost,compound_median,0.07807349413633347
